,celltype
D17All1_55,alpha
D17All1_57,alpha
D17All1_58,alpha
D17All1_62,alpha
D17All1_64,alpha
D17All1_73,alpha
D17All1_74,alpha
D17All1_88,alpha
D17All1_89,alpha
D17All1_93,alpha
D17All2_1,alpha
D17All2_6,alpha
D17All2_9,alpha
D17All2_11,alpha
D17All2_15,alpha
D17All2_16,alpha
D17All2_17,alpha
D17All2_24,alpha
D17All2_27,alpha
D17All2_32,alpha
D17All2_37,alpha
D17All2_39,alpha
D17All2_40,alpha
D17All2_43,alpha
D17All2_44,alpha
D17All2_45,alpha
D17All2_47,alpha
D17All2_52,alpha
D17All2_62,alpha
D17All2_74,alpha
D17All2_80,alpha
D17All2_84,alpha
D17TGFB_1,alpha
D17TGFB_2,alpha
D17TGFB_11,alpha
D17TGFB_13,alpha
D17TGFB_15,alpha
D17TGFB_20,alpha
D17TGFB_35,alpha
D17TGFB_40,alpha
D17TGFB_42,alpha
D17TGFB_48,alpha
D17TGFB_52,alpha
D17TGFB_53,alpha
D17TGFB_63,alpha
D17TGFB_65,alpha
D17TGFB_69,alpha
D17TGFB_70,alpha
D17TGFB_73,alpha
D17TGFB_75,alpha
D17TGFB_78,alpha
D17TGFB_82,alpha
D17TGFB_90,alpha
D17TGFB_91,alpha
D17TGFB_94,alpha
D17TGFB_95,alpha
D3en2_58,alpha
D3en4_22,alpha
D3en4_47,alpha
D3en4_71,alpha
D3en4_91,alpha
D71_3,alpha
D71_20,alpha
D71_37,alpha
D71_40,alpha
D71_43,alpha
D71_58,alpha
D71_76,alpha
D71_93,alpha
D72_2,alpha
D72_8,alpha
D72_10,alpha
D72_47,alpha
D72_54,alpha
D72_67,alpha
D72_85,alpha
D72_88,alpha
D72_91,alpha
D72_92,alpha
D73_1,alpha
D73_3,alpha
D73_6,alpha
D73_10,alpha
D73_14,alpha
D73_17,alpha
D73_31,alpha
D73_32,alpha
D73_33,alpha
D73_36,alpha
D73_41,alpha
D73_58,alpha
D73_59,alpha
D73_69,alpha
D73_79,alpha
D73_81,alpha
D74_8,alpha
D74_29,alpha
D74_32,alpha
D74_41,alpha
D74_42,alpha
D74_52,alpha
D74_55,alpha
D74_56,alpha
D74_57,alpha
D74_67,alpha
D74_68,alpha
D74_70,alpha
D74_75,alpha
D74_85,alpha
D74_87,alpha
D74_88,alpha
D74_95,alpha
D28-1_1,alpha
D28-1_15,alpha
D28-1_17,alpha
D28-1_29,alpha
D28-1_30,alpha
D28-1_39,alpha
D28-1_40,alpha
D28-1_41,alpha
D28-1_51,alpha
D28-1_63,alpha
D28-1_65,alpha
D28-1_75,alpha
D28-1_88,alpha
D28-2_2,alpha
D28-2_5,alpha
D28-2_28,alpha
D28-2_43,alpha
D28-2_51,alpha
D28-2_52,alpha
D28-2_65,alpha
D28-2_68,alpha
D28-2_85,alpha
D28-2_90,alpha
D28-3_3,alpha
D28-3_5,alpha
D28-3_7,alpha
D28-3_8,alpha
D28-3_13,alpha
D28-3_15,alpha
D28-3_38,alpha
D28-3_40,alpha
D28-3_42,alpha
D28-3_50,alpha
D28-3_55,alpha
D28-3_64,alpha
D28-3_68,alpha
D28-3_69,alpha
D28-3_76,alpha
D28-3_79,alpha
D28-3_92,alpha
D28-4_13,alpha
D28-4_15,alpha
D28-4_27,alpha
D28-4_29,alpha
D28-4_30,alpha
D28-4_37,alpha
D28-4_39,alpha
D28-4_41,alpha
D28-4_56,alpha
D28-4_62,alpha
D28-4_65,alpha
D28-4_76,alpha
D28-4_87,alpha
D28-5_13,alpha
D28-5_14,alpha
D28-5_15,alpha
D28-5_40,alpha
D28-5_41,alpha
D28-5_50,alpha
D28-5_52,alpha
D28-5_64,alpha
D28-5_65,alpha
D28-5_74,alpha
D28-5_86,alpha
D28-5_87,alpha
D28-6_13,alpha
D28-6_29,alpha
D28-6_37,alpha
D28-6_52,alpha
D28-6_65,alpha
D28-6_77,alpha
D28-6_88,alpha
D28-7_3,alpha
D28-7_5,alpha
D28-7_7,alpha
D28-7_13,alpha
D28-7_16,alpha
D28-7_19,alpha
D28-7_49,alpha
D28-7_53,alpha
D28-7_61,alpha
D28-7_63,alpha
D28-7_65,alpha
D28-7_66,alpha
D28-7_77,alpha
D28-8_2,alpha
D28-8_5,alpha
D28-8_14,alpha
D28-8_15,alpha
D28-8_18,alpha
D28-8_25,alpha
D28-8_27,alpha
D28-8_41,alpha
D28-8_74,alpha
D28-8_86,alpha
D29-1_1,alpha
D29-1_6,alpha
D29-1_7,alpha
D29-1_11,alpha
D29-1_13,alpha
D29-1_17,alpha
D29-1_18,alpha
D29-1_19,alpha
D29-1_20,alpha
D29-1_26,alpha
D29-1_27,alpha
D29-1_29,alpha
D29-1_32,alpha
D29-1_34,alpha
D29-1_37,alpha
D29-1_38,alpha
D29-1_41,alpha
D29-1_44,alpha
D29-1_46,alpha
D29-1_47,alpha
D29-1_50,alpha
D29-1_51,alpha
D29-1_55,alpha
D29-1_59,alpha
D29-1_60,alpha
D29-1_62,alpha
D29-1_69,alpha
D29-1_76,alpha
D29-1_80,alpha
D29-1_87,alpha
D29-1_89,alpha
D29-2_3,alpha
D29-2_6,alpha
D29-2_8,alpha
D29-2_13,alpha
D29-2_15,alpha
D29-2_22,alpha
D29-2_25,alpha
D29-2_28,alpha
D29-2_31,alpha
D29-2_33,alpha
D29-2_35,alpha
D29-2_37,alpha
D29-2_38,alpha
D29-2_39,alpha
D29-2_41,alpha
D29-2_45,alpha
D29-2_48,alpha
D29-2_51,alpha
D29-2_52,alpha
D29-2_67,alpha
D29-2_69,alpha
D29-2_71,alpha
D29-2_74,alpha
D29-2_75,alpha
D29-2_76,alpha
D29-2_84,alpha
D29-2_90,alpha
D29-2_91,alpha
D29-2_93,alpha
D29-2_94,alpha
D29-3_3,alpha
D29-3_18,alpha
D29-3_22,alpha
D29-3_25,alpha
D29-3_29,alpha
D29-3_30,alpha
D29-3_31,alpha
D29-3_33,alpha
D29-3_34,alpha
D29-3_38,alpha
D29-3_40,alpha
D29-3_42,alpha
D29-3_47,alpha
D29-3_49,alpha
D29-3_53,alpha
D29-3_54,alpha
D29-3_56,alpha
D29-3_60,alpha
D29-3_66,alpha
D29-3_72,alpha
D29-3_74,alpha
D29-3_76,alpha
D29-3_77,alpha
D29-3_79,alpha
D29-3_81,alpha
D29-3_84,alpha
D29-3_92,alpha
D29-3_93,alpha
D29-4_2,alpha
D29-4_5,alpha
D29-4_8,alpha
D29-4_9,alpha
D29-4_12,alpha
D29-4_13,alpha
D29-4_15,alpha
D29-4_16,alpha
D29-4_18,alpha
D29-4_22,alpha
D29-4_25,alpha
D29-4_26,alpha
D29-4_28,alpha
D29-4_29,alpha
D29-4_30,alpha
D29-4_33,alpha
D29-4_34,alpha
D29-4_35,alpha
D29-4_38,alpha
D29-4_46,alpha
D29-4_49,alpha
D29-4_50,alpha
D29-4_51,alpha
D29-4_53,alpha
D29-4_55,alpha
D29-4_56,alpha
D29-4_57,alpha
D29-4_58,alpha
D29-4_60,alpha
D29-4_61,alpha
D29-4_62,alpha
D29-4_65,alpha
D29-4_66,alpha
D29-4_68,alpha
D29-4_70,alpha
D29-4_72,alpha
D29-4_74,alpha
D29-4_75,alpha
D29-4_77,alpha
D29-4_80,alpha
D29-4_82,alpha
D29-4_85,alpha
D29-4_93,alpha
D29-5_3,alpha
D29-5_5,alpha
D29-5_7,alpha
D29-5_8,alpha
D29-5_11,alpha
D29-5_17,alpha
D29-5_18,alpha
D29-5_19,alpha
D29-5_24,alpha
D29-5_31,alpha
D29-5_33,alpha
D29-5_35,alpha
D29-5_39,alpha
D29-5_43,alpha
D29-5_44,alpha
D29-5_46,alpha
D29-5_49,alpha
D29-5_54,alpha
D29-5_56,alpha
D29-5_57,alpha
D29-5_59,alpha
D29-5_65,alpha
D29-5_67,alpha
D29-5_68,alpha
D29-5_71,alpha
D29-5_75,alpha
D29-5_82,alpha
D29-5_87,alpha
D29-5_92,alpha
D29-6_1,alpha
D29-6_8,alpha
D29-6_17,alpha
D29-6_19,alpha
D29-6_21,alpha
D29-6_24,alpha
D29-6_26,alpha
D29-6_27,alpha
D29-6_29,alpha
D29-6_34,alpha
D29-6_38,alpha
D29-6_40,alpha
D29-6_41,alpha
D29-6_42,alpha
D29-6_48,alpha
D29-6_51,alpha
D29-6_52,alpha
D29-6_53,alpha
D29-6_54,alpha
D29-6_57,alpha
D29-6_58,alpha
D29-6_60,alpha
D29-6_64,alpha
D29-6_65,alpha
D29-6_69,alpha
D29-6_78,alpha
D29-6_82,alpha
D29-6_83,alpha
D29-6_84,alpha
D29-6_86,alpha
D29-6_89,alpha
D29-6_90,alpha
D29-6_91,alpha
D29-6_94,alpha
D29-7_1,alpha
D29-7_6,alpha
D29-7_25,alpha
D29-7_32,alpha
D29-7_33,alpha
D29-7_38,alpha
D29-7_43,alpha
D29-7_44,alpha
D29-7_46,alpha
D29-7_47,alpha
D29-7_50,alpha
D29-7_51,alpha
D29-7_55,alpha
D29-7_56,alpha
D29-7_57,alpha
D29-7_59,alpha
D29-7_64,alpha
D29-7_65,alpha
D29-7_70,alpha
D29-7_72,alpha
D29-7_73,alpha
D29-7_76,alpha
D29-7_80,alpha
D29-7_82,alpha
D29-7_84,alpha
D29-7_85,alpha
D29-7_90,alpha
D29-7_92,alpha
D29-8_2,alpha
D29-8_7,alpha
D29-8_14,alpha
D29-8_15,alpha
D29-8_18,alpha
D29-8_20,alpha
D29-8_24,alpha
D29-8_25,alpha
D29-8_27,alpha
D29-8_29,alpha
D29-8_30,alpha
D29-8_32,alpha
D29-8_33,alpha
D29-8_39,alpha
D29-8_45,alpha
D29-8_51,alpha
D29-8_55,alpha
D29-8_56,alpha
D29-8_59,alpha
D29-8_60,alpha
D29-8_64,alpha
D29-8_65,alpha
D29-8_66,alpha
D29-8_76,alpha
D29-8_77,alpha
D29-8_82,alpha
D29-8_84,alpha
D29-8_86,alpha
D30-1_4,alpha
D30-1_7,alpha
D30-1_9,alpha
D30-1_10,alpha
D30-1_15,alpha
D30-1_16,alpha
D30-1_17,alpha
D30-1_21,alpha
D30-1_23,alpha
D30-1_24,alpha
D30-1_27,alpha
D30-1_28,alpha
D30-1_35,alpha
D30-1_37,alpha
D30-1_38,alpha
D30-1_40,alpha
D30-1_47,alpha
D30-1_49,alpha
D30-1_52,alpha
D30-1_54,alpha
D30-1_56,alpha
D30-1_58,alpha
D30-1_59,alpha
D30-1_60,alpha
D30-1_71,alpha
D30-1_73,alpha
D30-1_75,alpha
D30-1_81,alpha
D30-1_82,alpha
D30-1_84,alpha
D30-1_86,alpha
D30-1_87,alpha
D30-1_90,alpha
D30-2_2,alpha
D30-2_5,alpha
D30-2_10,alpha
D30-2_12,alpha
D30-2_13,alpha
D30-2_14,alpha
D30-2_15,alpha
D30-2_16,alpha
D30-2_18,alpha
D30-2_19,alpha
D30-2_21,alpha
D30-2_23,alpha
D30-2_24,alpha
D30-2_25,alpha
D30-2_28,alpha
D30-2_31,alpha
D30-2_34,alpha
D30-2_37,alpha
D30-2_47,alpha
D30-2_60,alpha
D30-2_62,alpha
D30-2_65,alpha
D30-2_67,alpha
D30-2_68,alpha
D30-2_70,alpha
D30-2_72,alpha
D30-2_73,alpha
D30-2_78,alpha
D30-2_80,alpha
D30-2_81,alpha
D30-2_85,alpha
D30-2_86,alpha
D30-2_88,alpha
D30-2_91,alpha
D30-2_94,alpha
D30-3_1,alpha
D30-3_4,alpha
D30-3_5,alpha
D30-3_7,alpha
D30-3_11,alpha
D30-3_16,alpha
D30-3_19,alpha
D30-3_20,alpha
D30-3_25,alpha
D30-3_26,alpha
D30-3_27,alpha
D30-3_28,alpha
D30-3_29,alpha
D30-3_30,alpha
D30-3_31,alpha
D30-3_33,alpha
D30-3_34,alpha
D30-3_35,alpha
D30-3_37,alpha
D30-3_40,alpha
D30-3_41,alpha
D30-3_42,alpha
D30-3_44,alpha
D30-3_46,alpha
D30-3_47,alpha
D30-3_48,alpha
D30-3_50,alpha
D30-3_57,alpha
D30-3_60,alpha
D30-3_64,alpha
D30-3_65,alpha
D30-3_68,alpha
D30-3_70,alpha
D30-3_73,alpha
D30-3_74,alpha
D30-3_79,alpha
D30-3_80,alpha
D30-3_86,alpha
D30-3_88,alpha
D30-3_92,alpha
D30-3_93,alpha
D30-4_3,alpha
D30-4_6,alpha
D30-4_11,alpha
D30-4_12,alpha
D30-4_19,alpha
D30-4_21,alpha
D30-4_24,alpha
D30-4_25,alpha
D30-4_29,alpha
D30-4_32,alpha
D30-4_36,alpha
D30-4_37,alpha
D30-4_39,alpha
D30-4_40,alpha
D30-4_41,alpha
D30-4_43,alpha
D30-4_47,alpha
D30-4_49,alpha
D30-4_50,alpha
D30-4_52,alpha
D30-4_54,alpha
D30-4_60,alpha
D30-4_63,alpha
D30-4_66,alpha
D30-4_68,alpha
D30-4_69,alpha
D30-4_73,alpha
D30-4_74,alpha
D30-4_75,alpha
D30-4_77,alpha
D30-4_85,alpha
D30-4_86,alpha
D30-4_87,alpha
D30-4_88,alpha
D30-4_94,alpha
D30-5_8,alpha
D30-5_10,alpha
D30-5_13,alpha
D30-5_14,alpha
D30-5_20,alpha
D30-5_23,alpha
D30-5_24,alpha
D30-5_26,alpha
D30-5_27,alpha
D30-5_28,alpha
D30-5_33,alpha
D30-5_37,alpha
D30-5_39,alpha
D30-5_43,alpha
D30-5_48,alpha
D30-5_51,alpha
D30-5_53,alpha
D30-5_54,alpha
D30-5_55,alpha
D30-5_62,alpha
D30-5_63,alpha
D30-5_65,alpha
D30-5_66,alpha
D30-5_67,alpha
D30-5_70,alpha
D30-5_71,alpha
D30-5_73,alpha
D30-5_75,alpha
D30-5_83,alpha
D30-5_84,alpha
D30-5_88,alpha
D30-5_92,alpha
D30-5_93,alpha
D30-5_94,alpha
D30-6_1,alpha
D30-6_2,alpha
D30-6_4,alpha
D30-6_7,alpha
D30-6_16,alpha
D30-6_19,alpha
D30-6_22,alpha
D30-6_24,alpha
D30-6_26,alpha
D30-6_28,alpha
D30-6_30,alpha
D30-6_31,alpha
D30-6_32,alpha
D30-6_33,alpha
D30-6_36,alpha
D30-6_39,alpha
D30-6_41,alpha
D30-6_42,alpha
D30-6_45,alpha
D30-6_46,alpha
D30-6_50,alpha
D30-6_51,alpha
D30-6_55,alpha
D30-6_62,alpha
D30-6_63,alpha
D30-6_66,alpha
D30-6_67,alpha
D30-6_70,alpha
D30-6_71,alpha
D30-6_72,alpha
D30-6_74,alpha
D30-6_75,alpha
D30-6_81,alpha
D30-6_82,alpha
D30-6_85,alpha
D30-6_87,alpha
D30-6_88,alpha
D30-6_89,alpha
D30-6_91,alpha
D30-7_2,alpha
D30-7_5,alpha
D30-7_6,alpha
D30-7_8,alpha
D30-7_9,alpha
D30-7_10,alpha
D30-7_12,alpha
D30-7_14,alpha
D30-7_16,alpha
D30-7_18,alpha
D30-7_25,alpha
D30-7_26,alpha
D30-7_36,alpha
D30-7_40,alpha
D30-7_41,alpha
D30-7_42,alpha
D30-7_43,alpha
D30-7_45,alpha
D30-7_47,alpha
D30-7_49,alpha
D30-7_52,alpha
D30-7_57,alpha
D30-7_60,alpha
D30-7_61,alpha
D30-7_64,alpha
D30-7_65,alpha
D30-7_66,alpha
D30-7_67,alpha
D30-7_68,alpha
D30-7_71,alpha
D30-7_73,alpha
D30-7_75,alpha
D30-7_77,alpha
D30-7_78,alpha
D30-7_87,alpha
D30-7_92,alpha
D30-7_93,alpha
D30-8_1,alpha
D30-8_2,alpha
D30-8_5,alpha
D30-8_7,alpha
D30-8_10,alpha
D30-8_11,alpha
D30-8_13,alpha
D30-8_19,alpha
D30-8_20,alpha
D30-8_23,alpha
D30-8_26,alpha
D30-8_28,alpha
D30-8_31,alpha
D30-8_39,alpha
D30-8_43,alpha
D30-8_44,alpha
D30-8_47,alpha
D30-8_48,alpha
D30-8_52,alpha
D30-8_53,alpha
D30-8_54,alpha
D30-8_64,alpha
D30-8_67,alpha
D30-8_70,alpha
D30-8_71,alpha
D30-8_75,alpha
D30-8_76,alpha
D30-8_77,alpha
D30-8_78,alpha
D30-8_79,alpha
D30-8_83,alpha
D30-8_89,alpha
D30-8_90,alpha
D30-8_92,alpha
D31-1_2,alpha
D31-1_4,alpha
D31-1_8,alpha
D31-1_17,alpha
D31-1_24,alpha
D31-1_32,alpha
D31-1_35,alpha
D31-1_36,alpha
D31-1_40,alpha
D31-1_42,alpha
D31-1_43,alpha
D31-1_46,alpha
D31-1_49,alpha
D31-1_52,alpha
D31-1_59,alpha
D31-1_60,alpha
D31-1_61,alpha
D31-1_64,alpha
D31-1_66,alpha
D31-1_67,alpha
D31-1_69,alpha
D31-1_75,alpha
D31-1_78,alpha
D31-1_85,alpha
D31-1_87,alpha
D31-1_89,alpha
D31-1_91,alpha
D31-1_92,alpha
D31-2_2,alpha
D31-2_7,alpha
D31-2_9,alpha
D31-2_11,alpha
D31-2_13,alpha
D31-2_14,alpha
D31-2_22,alpha
D31-2_31,alpha
D31-2_32,alpha
D31-2_33,alpha
D31-2_39,alpha
D31-2_44,alpha
D31-2_45,alpha
D31-2_50,alpha
D31-2_56,alpha
D31-2_57,alpha
D31-2_63,alpha
D31-2_64,alpha
D31-2_67,alpha
D31-2_74,alpha
D31-2_81,alpha
D31-2_82,alpha
D31-2_89,alpha
D31-2_93,alpha
D31-3_2,alpha
D31-3_3,alpha
D31-3_5,alpha
D31-3_13,alpha
D31-3_18,alpha
D31-3_19,alpha
D31-3_24,alpha
D31-3_27,alpha
D31-3_28,alpha
D31-3_29,alpha
D31-3_32,alpha
D31-3_35,alpha
D31-3_38,alpha
D31-3_39,alpha
D31-3_45,alpha
D31-3_46,alpha
D31-3_52,alpha
D31-3_55,alpha
D31-3_57,alpha
D31-3_70,alpha
D31-3_76,alpha
D31-3_79,alpha
D31-3_84,alpha
D31-3_85,alpha
D31-3_90,alpha
D31-3_91,alpha
D31-3_94,alpha
D31-4_1,alpha
D31-4_5,alpha
D31-4_6,alpha
D31-4_7,alpha
D31-4_11,alpha
D31-4_18,alpha
D31-4_20,alpha
D31-4_22,alpha
D31-4_23,alpha
D31-4_24,alpha
D31-4_27,alpha
D31-4_29,alpha
D31-4_30,alpha
D31-4_31,alpha
D31-4_32,alpha
D31-4_42,alpha
D31-4_47,alpha
D31-4_50,alpha
D31-4_52,alpha
D31-4_53,alpha
D31-4_54,alpha
D31-4_59,alpha
D31-4_61,alpha
D31-4_80,alpha
D31-4_81,alpha
D31-4_84,alpha
D31-4_87,alpha
D31-4_89,alpha
D31-5_2,alpha
D31-5_8,alpha
D31-5_10,alpha
D31-5_11,alpha
D31-5_12,alpha
D31-5_17,alpha
D31-5_20,alpha
D31-5_21,alpha
D31-5_24,alpha
D31-5_25,alpha
D31-5_33,alpha
D31-5_35,alpha
D31-5_36,alpha
D31-5_44,alpha
D31-5_49,alpha
D31-5_50,alpha
D31-5_53,alpha
D31-5_54,alpha
D31-5_56,alpha
D31-5_58,alpha
D31-5_59,alpha
D31-5_62,alpha
D31-5_63,alpha
D31-5_66,alpha
D31-5_67,alpha
D31-5_68,alpha
D31-5_76,alpha
D31-5_86,alpha
D31-5_87,alpha
D31-5_88,alpha
D31-5_90,alpha
D31-5_93,alpha
D31-6_2,alpha
D31-6_10,alpha
D31-6_18,alpha
D31-6_30,alpha
D31-6_35,alpha
D31-6_36,alpha
D31-6_45,alpha
D31-6_48,alpha
D31-6_54,alpha
D31-6_55,alpha
D31-6_56,alpha
D31-6_59,alpha
D31-6_63,alpha
D31-6_64,alpha
D31-6_74,alpha
D31-6_77,alpha
D31-6_83,alpha
D31-6_88,alpha
D31-6_89,alpha
D31-6_90,alpha
D31-6_91,alpha
D31-6_94,alpha
D31-7_2,alpha
D31-7_6,alpha
D31-7_8,alpha
D31-7_12,alpha
D31-7_14,alpha
D31-7_17,alpha
D31-7_19,alpha
D31-7_25,alpha
D31-7_28,alpha
D31-7_30,alpha
D31-7_33,alpha
D31-7_35,alpha
D31-7_36,alpha
D31-7_37,alpha
D31-7_41,alpha
D31-7_44,alpha
D31-7_49,alpha
D31-7_50,alpha
D31-7_51,alpha
D31-7_54,alpha
D31-7_61,alpha
D31-7_62,alpha
D31-7_64,alpha
D31-7_65,alpha
D31-7_71,alpha
D31-7_75,alpha
D31-7_80,alpha
D31-7_90,alpha
D31-7_93,alpha
D31-8_2,alpha
D31-8_5,alpha
D31-8_6,alpha
D31-8_9,alpha
D31-8_12,alpha
D31-8_14,alpha
D31-8_24,alpha
D31-8_33,alpha
D31-8_38,alpha
D31-8_44,alpha
D31-8_46,alpha
D31-8_52,alpha
D31-8_57,alpha
D31-8_61,alpha
D31-8_62,alpha
D31-8_65,alpha
D31-8_82,alpha
D31-8_86,alpha
D31-8_93,alpha
10th_C16_S105,alpha
10th_C28_S91,alpha
10th_C30_S107,alpha
10th_C31_S48,alpha
10th_C34_S92,alpha
10th_C41_S101,alpha
10th_C43_S50,alpha
10th_C45_S66,alpha
10th_C50_S73,alpha
10th_C52_S110,alpha
10th_C53_S118,alpha
10th_C57_S81,alpha
10th_C5_S95,alpha
10th_C74_S76,alpha
10th_C90_S116,alpha
10th_C95_S123,alpha
10th_C96_S117,alpha
11th-C12_S47,alpha
11th-C36_S67,alpha
11th-C37_S6,alpha
11th-C57_S40,alpha
11th-C5_S54,alpha
11th-C61_S25,alpha
11th-C62_S33,alpha
11th-C67_S26,alpha
11th-C93_S30,alpha
12th-C11_S147,alpha
12th-C1_S195,alpha
12th-C20_S191,alpha
12th-C23_S149,alpha
12th-C28_S142,alpha
12th-C29_S150,alpha
12th-C37_S187,alpha
12th-C39_S201,alpha
12th-C50_S210,alpha
12th-C57_S218,alpha
12th-C58_S162,alpha
12th-C63_S219,alpha
12th-C71_S171,alpha
12th-C75_S206,alpha
12th-C80_S215,alpha
12th-C81_S207,alpha
12th-C95_S174,alpha
13th_C13_S149,alpha
13th_C18_S179,alpha
13th_C1_S147,alpha
13th_C20_S142,alpha
13th_C29_S188,alpha
13th_C31_S137,alpha
13th_C3_S132,alpha
13th_C4_S191,alpha
13th_C53_S205,alpha
13th_C54_S212,alpha
13th_C55_S156,alpha
13th_C60_S213,alpha
13th_C6_S177,alpha
13th_C76_S216,alpha
13th_C77_S209,alpha
13th_C79_S174,alpha
13th_C86_S168,alpha
13th_C88_S218,alpha
13th_C92_S169,alpha
13th_C93_S162,alpha
1st-C15_S3,alpha
1st-C18_S51,alpha
1st-C19_S20,alpha
1st-C20_S12,alpha
1st-C21_S4,alpha
1st-C50_S33,alpha
1st-C51_S41,alpha
1st-C53_S74,alpha
1st-C56_S34,alpha
1st-C57_S42,alpha
1st-C59_S77,alpha
1st-C62_S35,alpha
1st-C68_S36,alpha
1st-C71_S83,alpha
1st-C73_S45,alpha
1st-C74_S37,alpha
1st-C75_S29,alpha
1st-C78_S85,alpha
1st-C80_S38,alpha
1st-C8_S10,alpha
2nd-C11_S20,alpha
2nd-C16_S33,alpha
2nd-C1_S3,alpha
2nd-C26_S50,alpha
2nd-C28_S55,alpha
2nd-C29_S56,alpha
2nd-C31_S61,alpha
2nd-C36_S69,alpha
2nd-C39_S75,alpha
2nd-C3_S1,alpha
2nd-C47_S92,alpha
2nd-C4_S9,alpha
2nd-C57_S18,alpha
2nd-C58_S22,alpha
2nd-C67_S40,alpha
2nd-C69_S42,alpha
2nd-C6_S7,alpha
2nd-C74_S53,alpha
2nd-C75_S52,alpha
2nd-C77_S59,alpha
2nd-C80_S65,alpha
2nd-C83_S71,alpha
2nd-C8_S14,alpha
2nd-C94_S96,alpha
3rd-C12_S68,alpha
3rd-C18_S80,alpha
3rd-C21_S11,alpha
3rd-C23_S94,alpha
3rd-C26_S28,alpha
3rd-C27_S49,alpha
3rd-C32_S31,alpha
3rd-C3_S2,alpha
3rd-C46_S93,alpha
3rd-C49_S60,alpha
3rd-C52_S86,alpha
3rd-C57_S5,alpha
3rd-C61_S64,alpha
3rd-C63_S54,alpha
3rd-C67_S69,alpha
3rd-C69_S78,alpha
3rd-C76_S22,alpha
3rd-C79_S67,alpha
3rd-C7_S40,alpha
3rd-C85_S79,alpha
3rd-C85_S83,alpha
3rd-C91_S91,alpha
3rd-C95_S81,alpha
3rd-C9_S5,alpha
4th-C12_S19,alpha
4th-C18_S31,alpha
4th-C22_S45,alpha
4th-C23_S44,alpha
4th-C29_S56,alpha
4th-C33_S63,alpha
4th-C35_S68,alpha
4th-C36_S69,alpha
4th-C37_S73,alpha
4th-C40_S79,alpha
4th-C43_S85,alpha
4th-C4_S9,alpha
4th-C50_S5,alpha
4th-C51_S6,alpha
4th-C56_S17,alpha
4th-C57_S18,alpha
4th-C59_S23,alpha
4th-C62_S29,alpha
4th-C63_S30,alpha
4th-C64_S34,alpha
4th-C66_S36,alpha
4th-C68_S41,alpha
4th-C69_S42,alpha
4th-C73_S54,alpha
4th-C75_S52,alpha
4th-C79_S66,alpha
4th-C80_S65,alpha
4th-C82_S72,alpha
4th-C83_S71,alpha
4th-C86_S77,alpha
4th-C88_S84,alpha
4th-C92_S89,alpha
4th-C94_S96,alpha
4th-C96_S94,alpha
4th-C9_S13,alpha
5th-C21_S102,alpha
5th-C34_S108,alpha
5th-C59_S94,alpha
5th-C66_S101,alpha
5th-C68_S106,alpha
5th-C69_S107,alpha
5th-C6_S84,alpha
5th-C70_S103,alpha
5th-C74_S110,alpha
5th-C77_S107,alpha
5th-C7_S93,alpha
5th-C87_S119,alpha
5th-C92_S124,alpha
6th-C21_S33,alpha
6th-C34_S61,alpha
6th-C45_S81,alpha
6th-C53_S10,alpha
6th-C5_S8,alpha
6th-C65_S31,alpha
6th-C83_S65,alpha
6th-C87_S70,alpha
6th-C9_S12,alpha
7th-C11_S18,alpha
7th-C14_S24,alpha
7th-C32_S54,alpha
7th-C34_S59,alpha
7th-C36_S61,alpha
7th-C49_S4,alpha
7th-C58_S20,alpha
7th-C69_S39,alpha
7th-C79_S58,alpha
7th-C85_S69,alpha
8th-C11_S99,alpha
8th-C20_S116,alpha
8th-C21_S115,alpha
8th-C23_S121,alpha
8th-C26_S126,alpha
8th-C28_S131,alpha
8th-C34_S141,alpha
8th-C37_S146,alpha
8th-C55_S96,alpha
8th-C57_S98,alpha
8th-C58_S101,alpha
8th-C59_S102,alpha
8th-C64_S112,alpha
8th-C74_S129,alpha
8th-C79_S140,alpha
8th-C7_S95,alpha
8th-C85_S150,alpha
8th-C90_S152,alpha
8th-C94_S162,alpha
8th-C95_S161,alpha
9th-C15_S22,alpha
9th-C17_S29,alpha
9th-C19_S36,alpha
9th-C20_S35,alpha
9th-C29_S51,alpha
9th-C30_S52,alpha
9th-C40_S69,alpha
9th-C49_S4,alpha
9th-C52_S10,alpha
9th-C62_S26,alpha
9th-C64_S31,alpha
9th-C67_S37,alpha
9th-C74_S48,alpha
9th-C75_S47,alpha
9th-C77_S53,alpha
9th-C80_S56,alpha
9th-C83_S61,alpha
9th-C85_S68,alpha
9th-C87_S66,alpha
9th-C92_S77,alpha
9th-C9_S13,alpha
AZ_B9,alpha
AZ_A6,alpha
AZ_C1,alpha
AZ_A11,alpha
AZ_C2,alpha
AZ_B11,alpha
AZ_B12,alpha
AZ_B2,alpha
AZ_B3,alpha
AZ_B5,alpha
AZ_E12,alpha
AZ_D3,alpha
AZ_E4,alpha
AZ_G4,alpha
AZ_G3,alpha
AZ_D9,alpha
AZ_E2,alpha
AZ_C8,alpha
AZ_E5,alpha
AZ_F4,alpha
AZ_C5,alpha
AZ_D7,alpha
AZ_D4,alpha
AZ_E8,alpha
AZ_F8,alpha
AZ_G1,alpha
AZ_E9,alpha
AZ_H9,alpha
HP1502401_J14,alpha
HP1502401_C14,alpha
HP1502401_M14,alpha
HP1502401_L13,alpha
HP1502401_H14,alpha
HP1502401_L21,alpha
