,paul15_clusters,paul15_label,celltype,sc3s_labels
820,10GMP,GMP,GMP,1
821,13Baso,Baso,Baso,2
822,13Baso,Baso,Baso,2
823,8Mk,Mk,Mk,1
824,16Neu,Neu,Neu,3
825,13Baso,Baso,Baso,2
826,7MEP,MEP,MEP,4
827,4Ery,Ery,Ery,5
828,13Baso,Baso,Baso,1
829,6Ery,Ery,Ery,4
830,2Ery,Ery,Ery,9
831,14Mo,Mo,Mo,2
832,16Neu,Neu,Neu,3
833,2Ery,Ery,Ery,5
834,13Baso,Baso,Baso,1
835,14Mo,Mo,Mo,3
836,6Ery,Ery,Ery,0
837,2Ery,Ery,Ery,5
838,2Ery,Ery,Ery,9
839,2Ery,Ery,Ery,5
840,8Mk,Mk,Mk,4
841,2Ery,Ery,Ery,5
842,4Ery,Ery,Ery,6
843,14Mo,Mo,Mo,2
844,17Neu,Neu,Neu,1
845,5Ery,Ery,Ery,0
846,13Baso,Baso,Baso,2
847,7MEP,MEP,MEP,4
848,3Ery,Ery,Ery,7
849,5Ery,Ery,Ery,8
850,13Baso,Baso,Baso,2
851,8Mk,Mk,Mk,1
852,6Ery,Ery,Ery,4
853,5Ery,Ery,Ery,9
854,5Ery,Ery,Ery,7
855,11DC,DC,DC,2
856,5Ery,Ery,Ery,5
857,15Mo,Mo,Mo,3
858,2Ery,Ery,Ery,5
859,2Ery,Ery,Ery,9
860,15Mo,Mo,Mo,3
861,15Mo,Mo,Mo,3
862,13Baso,Baso,Baso,3
863,14Mo,Mo,Mo,2
864,14Mo,Mo,Mo,2
865,14Mo,Mo,Mo,2
866,5Ery,Ery,Ery,0
867,7MEP,MEP,MEP,4
868,3Ery,Ery,Ery,9
869,2Ery,Ery,Ery,9
870,7MEP,MEP,MEP,4
871,1Ery,Ery,Ery,5
872,14Mo,Mo,Mo,2
873,2Ery,Ery,Ery,9
874,15Mo,Mo,Mo,3
875,13Baso,Baso,Baso,1
876,4Ery,Ery,Ery,9
877,13Baso,Baso,Baso,3
878,6Ery,Ery,Ery,7
879,9GMP,GMP,GMP,1
880,3Ery,Ery,Ery,8
881,6Ery,Ery,Ery,7
882,1Ery,Ery,Ery,5
883,4Ery,Ery,Ery,8
884,13Baso,Baso,Baso,2
885,9GMP,GMP,GMP,1
886,7MEP,MEP,MEP,4
887,14Mo,Mo,Mo,2
888,13Baso,Baso,Baso,1
889,13Baso,Baso,Baso,2
890,19Lymph,Lymph,Lymph,1
891,10GMP,GMP,GMP,1
892,9GMP,GMP,GMP,1
893,5Ery,Ery,Ery,0
894,16Neu,Neu,Neu,3
895,14Mo,Mo,Mo,2
896,15Mo,Mo,Mo,3
897,2Ery,Ery,Ery,5
898,3Ery,Ery,Ery,6
899,13Baso,Baso,Baso,1
900,6Ery,Ery,Ery,0
901,4Ery,Ery,Ery,0
902,3Ery,Ery,Ery,6
903,16Neu,Neu,Neu,3
904,9GMP,GMP,GMP,1
905,9GMP,GMP,GMP,1
906,12Baso,Baso,Baso,4
907,7MEP,MEP,MEP,4
908,16Neu,Neu,Neu,3
909,6Ery,Ery,Ery,7
910,13Baso,Baso,Baso,3
911,17Neu,Neu,Neu,1
912,14Mo,Mo,Mo,2
913,3Ery,Ery,Ery,6
914,16Neu,Neu,Neu,3
915,13Baso,Baso,Baso,1
916,14Mo,Mo,Mo,2
917,3Ery,Ery,Ery,5
918,14Mo,Mo,Mo,2
919,16Neu,Neu,Neu,3
920,2Ery,Ery,Ery,5
921,18Eos,Eos,Eos,1
922,7MEP,MEP,MEP,4
923,7MEP,MEP,MEP,4
924,5Ery,Ery,Ery,9
925,16Neu,Neu,Neu,2
926,2Ery,Ery,Ery,5
927,5Ery,Ery,Ery,0
928,13Baso,Baso,Baso,2
929,6Ery,Ery,Ery,4
930,14Mo,Mo,Mo,2
931,12Baso,Baso,Baso,1
932,13Baso,Baso,Baso,1
933,5Ery,Ery,Ery,9
934,2Ery,Ery,Ery,9
935,2Ery,Ery,Ery,5
936,14Mo,Mo,Mo,2
937,16Neu,Neu,Neu,3
938,14Mo,Mo,Mo,1
939,1Ery,Ery,Ery,5
940,11DC,DC,DC,2
941,1Ery,Ery,Ery,5
942,13Baso,Baso,Baso,1
943,3Ery,Ery,Ery,0
944,5Ery,Ery,Ery,9
945,16Neu,Neu,Neu,3
946,16Neu,Neu,Neu,3
947,6Ery,Ery,Ery,7
948,1Ery,Ery,Ery,5
949,14Mo,Mo,Mo,1
950,16Neu,Neu,Neu,3
951,2Ery,Ery,Ery,5
952,10GMP,GMP,GMP,4
953,5Ery,Ery,Ery,0
954,14Mo,Mo,Mo,2
955,2Ery,Ery,Ery,5
956,6Ery,Ery,Ery,7
957,5Ery,Ery,Ery,6
958,1Ery,Ery,Ery,5
959,5Ery,Ery,Ery,4
960,15Mo,Mo,Mo,3
961,19Lymph,Lymph,Lymph,1
962,10GMP,GMP,GMP,1
963,2Ery,Ery,Ery,5
964,5Ery,Ery,Ery,9
965,7MEP,MEP,MEP,4
966,6Ery,Ery,Ery,7
967,11DC,DC,DC,2
968,4Ery,Ery,Ery,9
969,15Mo,Mo,Mo,2
970,3Ery,Ery,Ery,5
971,2Ery,Ery,Ery,5
972,7MEP,MEP,MEP,4
973,1Ery,Ery,Ery,5
974,7MEP,MEP,MEP,4
975,5Ery,Ery,Ery,0
976,3Ery,Ery,Ery,8
977,3Ery,Ery,Ery,9
978,13Baso,Baso,Baso,1
979,3Ery,Ery,Ery,8
980,15Mo,Mo,Mo,3
981,15Mo,Mo,Mo,2
982,4Ery,Ery,Ery,9
983,14Mo,Mo,Mo,2
984,2Ery,Ery,Ery,6
985,2Ery,Ery,Ery,5
986,16Neu,Neu,Neu,3
987,13Baso,Baso,Baso,2
988,14Mo,Mo,Mo,1
989,5Ery,Ery,Ery,7
990,16Neu,Neu,Neu,3
991,14Mo,Mo,Mo,2
992,16Neu,Neu,Neu,3
993,8Mk,Mk,Mk,1
994,7MEP,MEP,MEP,4
995,8Mk,Mk,Mk,4
996,14Mo,Mo,Mo,2
997,10GMP,GMP,GMP,1
998,5Ery,Ery,Ery,9
999,10GMP,GMP,GMP,4
1000,3Ery,Ery,Ery,9
1001,13Baso,Baso,Baso,1
1002,14Mo,Mo,Mo,2
1003,3Ery,Ery,Ery,6
1004,2Ery,Ery,Ery,0
1005,2Ery,Ery,Ery,5
1006,14Mo,Mo,Mo,3
1007,2Ery,Ery,Ery,9
1008,6Ery,Ery,Ery,4
1009,4Ery,Ery,Ery,8
1010,15Mo,Mo,Mo,3
1011,13Baso,Baso,Baso,2
1012,6Ery,Ery,Ery,0
1013,12Baso,Baso,Baso,1
1014,16Neu,Neu,Neu,3
1015,14Mo,Mo,Mo,2
1016,15Mo,Mo,Mo,3
1017,13Baso,Baso,Baso,2
1018,2Ery,Ery,Ery,6
1019,14Mo,Mo,Mo,2
1020,14Mo,Mo,Mo,2
1021,12Baso,Baso,Baso,4
1022,10GMP,GMP,GMP,1
1023,7MEP,MEP,MEP,4
1024,2Ery,Ery,Ery,9
1025,4Ery,Ery,Ery,0
1026,3Ery,Ery,Ery,9
1027,16Neu,Neu,Neu,3
1028,5Ery,Ery,Ery,0
1029,2Ery,Ery,Ery,5
1030,3Ery,Ery,Ery,9
1031,2Ery,Ery,Ery,5
1032,14Mo,Mo,Mo,2
1033,14Mo,Mo,Mo,2
1034,8Mk,Mk,Mk,1
1035,5Ery,Ery,Ery,9
1036,7MEP,MEP,MEP,4
1037,7MEP,MEP,MEP,4
1038,16Neu,Neu,Neu,3
1039,2Ery,Ery,Ery,9
1040,13Baso,Baso,Baso,2
1041,5Ery,Ery,Ery,9
1042,5Ery,Ery,Ery,0
1043,14Mo,Mo,Mo,3
1044,6Ery,Ery,Ery,4
1045,14Mo,Mo,Mo,2
1046,7MEP,MEP,MEP,4
1047,2Ery,Ery,Ery,5
1048,13Baso,Baso,Baso,2
1049,2Ery,Ery,Ery,5
1050,14Mo,Mo,Mo,2
1051,2Ery,Ery,Ery,9
1052,15Mo,Mo,Mo,3
1053,3Ery,Ery,Ery,9
1054,5Ery,Ery,Ery,9
1055,10GMP,GMP,GMP,1
1056,6Ery,Ery,Ery,0
1057,15Mo,Mo,Mo,2
1058,1Ery,Ery,Ery,5
1059,4Ery,Ery,Ery,9
1060,12Baso,Baso,Baso,1
1061,4Ery,Ery,Ery,0
1062,13Baso,Baso,Baso,2
1063,6Ery,Ery,Ery,7
1064,3Ery,Ery,Ery,4
1065,8Mk,Mk,Mk,7
1066,6Ery,Ery,Ery,7
1067,3Ery,Ery,Ery,0
1068,3Ery,Ery,Ery,8
1069,4Ery,Ery,Ery,8
1070,16Neu,Neu,Neu,3
1071,7MEP,MEP,MEP,4
1072,3Ery,Ery,Ery,8
1073,15Mo,Mo,Mo,3
1074,10GMP,GMP,GMP,1
1075,12Baso,Baso,Baso,1
1076,3Ery,Ery,Ery,8
1077,3Ery,Ery,Ery,8
1078,14Mo,Mo,Mo,2
1079,9GMP,GMP,GMP,1
1080,12Baso,Baso,Baso,1
1081,15Mo,Mo,Mo,3
1082,15Mo,Mo,Mo,3
1083,2Ery,Ery,Ery,5
1084,14Mo,Mo,Mo,2
1085,4Ery,Ery,Ery,6
1086,3Ery,Ery,Ery,6
1087,14Mo,Mo,Mo,2
1088,14Mo,Mo,Mo,2
1089,8Mk,Mk,Mk,1
1090,16Neu,Neu,Neu,3
1091,10GMP,GMP,GMP,1
1092,2Ery,Ery,Ery,5
1093,2Ery,Ery,Ery,5
1094,3Ery,Ery,Ery,8
1095,9GMP,GMP,GMP,4
1096,15Mo,Mo,Mo,3
1097,14Mo,Mo,Mo,2
1098,5Ery,Ery,Ery,9
1099,14Mo,Mo,Mo,2
1100,2Ery,Ery,Ery,5
1101,13Baso,Baso,Baso,2
1102,14Mo,Mo,Mo,2
1103,14Mo,Mo,Mo,2
1104,14Mo,Mo,Mo,1
1105,2Ery,Ery,Ery,6
1106,2Ery,Ery,Ery,5
1107,13Baso,Baso,Baso,2
1108,6Ery,Ery,Ery,4
1109,7MEP,MEP,MEP,4
1110,7MEP,MEP,MEP,4
1111,13Baso,Baso,Baso,1
1112,3Ery,Ery,Ery,8
1113,3Ery,Ery,Ery,7
1114,14Mo,Mo,Mo,2
1115,2Ery,Ery,Ery,4
1116,2Ery,Ery,Ery,5
1117,8Mk,Mk,Mk,1
1118,7MEP,MEP,MEP,4
1119,16Neu,Neu,Neu,3
1120,5Ery,Ery,Ery,0
1121,14Mo,Mo,Mo,2
1122,2Ery,Ery,Ery,9
1123,14Mo,Mo,Mo,2
1124,8Mk,Mk,Mk,1
1125,7MEP,MEP,MEP,4
1126,19Lymph,Lymph,Lymph,1
1127,14Mo,Mo,Mo,3
1128,12Baso,Baso,Baso,4
1129,13Baso,Baso,Baso,2
1130,12Baso,Baso,Baso,1
1131,13Baso,Baso,Baso,2
1132,4Ery,Ery,Ery,8
1133,14Mo,Mo,Mo,3
1134,2Ery,Ery,Ery,6
1135,5Ery,Ery,Ery,9
1136,11DC,DC,DC,2
1137,16Neu,Neu,Neu,3
1138,3Ery,Ery,Ery,8
1139,11DC,DC,DC,2
1140,3Ery,Ery,Ery,8
1141,4Ery,Ery,Ery,8
1142,3Ery,Ery,Ery,5
1143,6Ery,Ery,Ery,7
1144,15Mo,Mo,Mo,3
1145,17Neu,Neu,Neu,1
1146,14Mo,Mo,Mo,2
1147,4Ery,Ery,Ery,8
1148,9GMP,GMP,GMP,1
1149,7MEP,MEP,MEP,4
1150,7MEP,MEP,MEP,4
1151,14Mo,Mo,Mo,3
1152,13Baso,Baso,Baso,2
1153,4Ery,Ery,Ery,8
1154,13Baso,Baso,Baso,1
1155,14Mo,Mo,Mo,2
1156,3Ery,Ery,Ery,9
1157,2Ery,Ery,Ery,5
1158,3Ery,Ery,Ery,8
1159,14Mo,Mo,Mo,2
1160,6Ery,Ery,Ery,7
1161,2Ery,Ery,Ery,5
1162,10GMP,GMP,GMP,2
1163,13Baso,Baso,Baso,2
1164,5Ery,Ery,Ery,7
1165,7MEP,MEP,MEP,4
1166,13Baso,Baso,Baso,2
1167,3Ery,Ery,Ery,5
1168,2Ery,Ery,Ery,5
1169,14Mo,Mo,Mo,2
1170,3Ery,Ery,Ery,6
1171,2Ery,Ery,Ery,9
1172,10GMP,GMP,GMP,4
1173,13Baso,Baso,Baso,2
1174,14Mo,Mo,Mo,2
1175,4Ery,Ery,Ery,8
1176,5Ery,Ery,Ery,0
1177,18Eos,Eos,Eos,1
1178,2Ery,Ery,Ery,0
1179,14Mo,Mo,Mo,3
1180,3Ery,Ery,Ery,8
1181,13Baso,Baso,Baso,1
1182,5Ery,Ery,Ery,9
1183,12Baso,Baso,Baso,1
1184,5Ery,Ery,Ery,4
1185,2Ery,Ery,Ery,9
1186,7MEP,MEP,MEP,4
1187,5Ery,Ery,Ery,4
1188,16Neu,Neu,Neu,3
1189,15Mo,Mo,Mo,3
1190,14Mo,Mo,Mo,1
1191,5Ery,Ery,Ery,9
1192,16Neu,Neu,Neu,3
1193,2Ery,Ery,Ery,9
1194,2Ery,Ery,Ery,5
1195,6Ery,Ery,Ery,7
1196,2Ery,Ery,Ery,5
1197,5Ery,Ery,Ery,0
1198,14Mo,Mo,Mo,2
1199,2Ery,Ery,Ery,6
1200,3Ery,Ery,Ery,7
1201,5Ery,Ery,Ery,9
1202,16Neu,Neu,Neu,3
1203,10GMP,GMP,GMP,1
1204,14Mo,Mo,Mo,2
1205,1Ery,Ery,Ery,5
1206,2Ery,Ery,Ery,5
1207,3Ery,Ery,Ery,6
1208,15Mo,Mo,Mo,3
1209,7MEP,MEP,MEP,1
1210,4Ery,Ery,Ery,0
1211,7MEP,MEP,MEP,4
1212,5Ery,Ery,Ery,0
1213,2Ery,Ery,Ery,9
1214,13Baso,Baso,Baso,2
1215,14Mo,Mo,Mo,2
1216,15Mo,Mo,Mo,2
1217,2Ery,Ery,Ery,6
1218,14Mo,Mo,Mo,3
1219,6Ery,Ery,Ery,7
1220,12Baso,Baso,Baso,1
1221,2Ery,Ery,Ery,9
1222,19Lymph,Lymph,Lymph,1
1223,6Ery,Ery,Ery,7
1224,14Mo,Mo,Mo,2
1225,6Ery,Ery,Ery,7
1226,17Neu,Neu,Neu,1
1227,6Ery,Ery,Ery,7
1228,6Ery,Ery,Ery,4
1229,9GMP,GMP,GMP,1
1230,3Ery,Ery,Ery,8
1231,14Mo,Mo,Mo,2
1232,6Ery,Ery,Ery,7
1233,15Mo,Mo,Mo,3
1234,15Mo,Mo,Mo,2
1235,13Baso,Baso,Baso,2
1236,3Ery,Ery,Ery,5
1237,16Neu,Neu,Neu,3
1238,7MEP,MEP,MEP,4
1239,3Ery,Ery,Ery,8
1240,13Baso,Baso,Baso,1
1241,3Ery,Ery,Ery,6
1242,14Mo,Mo,Mo,3
1243,14Mo,Mo,Mo,2
1244,8Mk,Mk,Mk,1
1245,16Neu,Neu,Neu,3
1246,14Mo,Mo,Mo,3
1247,17Neu,Neu,Neu,1
1248,3Ery,Ery,Ery,6
1249,5Ery,Ery,Ery,0
1250,10GMP,GMP,GMP,1
1251,16Neu,Neu,Neu,3
1252,2Ery,Ery,Ery,9
1253,14Mo,Mo,Mo,2
1254,6Ery,Ery,Ery,4
1255,14Mo,Mo,Mo,2
1256,13Baso,Baso,Baso,2
1257,5Ery,Ery,Ery,7
1258,10GMP,GMP,GMP,1
1259,7MEP,MEP,MEP,4
1260,2Ery,Ery,Ery,9
1261,2Ery,Ery,Ery,9
1262,2Ery,Ery,Ery,5
1263,14Mo,Mo,Mo,3
1264,7MEP,MEP,MEP,4
1265,8Mk,Mk,Mk,1
1266,14Mo,Mo,Mo,2
1267,2Ery,Ery,Ery,5
1268,2Ery,Ery,Ery,9
1269,14Mo,Mo,Mo,2
1270,13Baso,Baso,Baso,3
1271,7MEP,MEP,MEP,4
1272,4Ery,Ery,Ery,8
1273,13Baso,Baso,Baso,2
1274,13Baso,Baso,Baso,2
1275,5Ery,Ery,Ery,0
1276,2Ery,Ery,Ery,9
1277,18Eos,Eos,Eos,3
1278,15Mo,Mo,Mo,3
1279,5Ery,Ery,Ery,7
1280,7MEP,MEP,MEP,4
1281,2Ery,Ery,Ery,5
1282,13Baso,Baso,Baso,2
1283,14Mo,Mo,Mo,2
1284,6Ery,Ery,Ery,4
1285,5Ery,Ery,Ery,7
1286,4Ery,Ery,Ery,9
1287,13Baso,Baso,Baso,2
1288,7MEP,MEP,MEP,4
1289,5Ery,Ery,Ery,0
1290,5Ery,Ery,Ery,9
1291,10GMP,GMP,GMP,1
1292,16Neu,Neu,Neu,3
1293,2Ery,Ery,Ery,6
1294,14Mo,Mo,Mo,3
1295,3Ery,Ery,Ery,8
1296,2Ery,Ery,Ery,9
1297,10GMP,GMP,GMP,1
1298,16Neu,Neu,Neu,3
1299,8Mk,Mk,Mk,1
1300,6Ery,Ery,Ery,7
1301,15Mo,Mo,Mo,3
1302,5Ery,Ery,Ery,7
1303,10GMP,GMP,GMP,1
1304,7MEP,MEP,MEP,4
1305,14Mo,Mo,Mo,2
1306,19Lymph,Lymph,Lymph,1
1307,2Ery,Ery,Ery,6
1308,15Mo,Mo,Mo,3
1309,3Ery,Ery,Ery,8
1310,6Ery,Ery,Ery,7
1311,1Ery,Ery,Ery,5
1312,2Ery,Ery,Ery,6
1313,3Ery,Ery,Ery,6
1314,4Ery,Ery,Ery,8
1315,6Ery,Ery,Ery,7
1316,13Baso,Baso,Baso,2
1317,3Ery,Ery,Ery,8
1318,5Ery,Ery,Ery,7
1319,14Mo,Mo,Mo,2
1320,13Baso,Baso,Baso,3
1321,13Baso,Baso,Baso,2
1322,3Ery,Ery,Ery,6
1323,4Ery,Ery,Ery,9
1324,7MEP,MEP,MEP,4
1325,10GMP,GMP,GMP,1
1326,11DC,DC,DC,2
1327,3Ery,Ery,Ery,8
1328,13Baso,Baso,Baso,1
1329,2Ery,Ery,Ery,9
1330,13Baso,Baso,Baso,2
1331,2Ery,Ery,Ery,6
1332,4Ery,Ery,Ery,8
1333,10GMP,GMP,GMP,1
1334,16Neu,Neu,Neu,3
1335,14Mo,Mo,Mo,1
1336,16Neu,Neu,Neu,3
1337,10GMP,GMP,GMP,1
1338,2Ery,Ery,Ery,0
1339,2Ery,Ery,Ery,5
1340,6Ery,Ery,Ery,7
1341,3Ery,Ery,Ery,8
1342,14Mo,Mo,Mo,2
1343,14Mo,Mo,Mo,2
1344,15Mo,Mo,Mo,3
1345,10GMP,GMP,GMP,1
1346,13Baso,Baso,Baso,2
1347,3Ery,Ery,Ery,8
1348,7MEP,MEP,MEP,4
1349,13Baso,Baso,Baso,2
1350,2Ery,Ery,Ery,5
1351,14Mo,Mo,Mo,2
1352,14Mo,Mo,Mo,2
1353,15Mo,Mo,Mo,2
1354,4Ery,Ery,Ery,9
1355,15Mo,Mo,Mo,3
1356,14Mo,Mo,Mo,2
1357,10GMP,GMP,GMP,1
1358,13Baso,Baso,Baso,1
1359,16Neu,Neu,Neu,3
1360,8Mk,Mk,Mk,1
1361,13Baso,Baso,Baso,2
1362,5Ery,Ery,Ery,7
1363,6Ery,Ery,Ery,4
1364,14Mo,Mo,Mo,2
1365,2Ery,Ery,Ery,9
1366,6Ery,Ery,Ery,7
1367,3Ery,Ery,Ery,8
1368,14Mo,Mo,Mo,2
1369,7MEP,MEP,MEP,4
1370,7MEP,MEP,MEP,4
1371,14Mo,Mo,Mo,2
1372,5Ery,Ery,Ery,4
1373,13Baso,Baso,Baso,2
1374,2Ery,Ery,Ery,5
1375,16Neu,Neu,Neu,3
1376,12Baso,Baso,Baso,4
1377,14Mo,Mo,Mo,3
1378,8Mk,Mk,Mk,1
1379,4Ery,Ery,Ery,9
1380,3Ery,Ery,Ery,8
1381,2Ery,Ery,Ery,8
1382,14Mo,Mo,Mo,2
1383,7MEP,MEP,MEP,1
1384,19Lymph,Lymph,Lymph,1
1385,7MEP,MEP,MEP,1
1386,10GMP,GMP,GMP,4
1387,13Baso,Baso,Baso,2
1388,2Ery,Ery,Ery,5
1389,2Ery,Ery,Ery,5
1390,3Ery,Ery,Ery,6
1391,3Ery,Ery,Ery,8
1392,6Ery,Ery,Ery,4
1393,7MEP,MEP,MEP,4
1394,8Mk,Mk,Mk,1
1395,2Ery,Ery,Ery,4
1396,1Ery,Ery,Ery,5
1397,9GMP,GMP,GMP,1
1398,13Baso,Baso,Baso,2
1399,15Mo,Mo,Mo,2
1400,6Ery,Ery,Ery,4
1401,13Baso,Baso,Baso,1
1402,3Ery,Ery,Ery,6
1403,16Neu,Neu,Neu,3
1404,14Mo,Mo,Mo,2
1405,5Ery,Ery,Ery,0
1406,7MEP,MEP,MEP,4
1407,13Baso,Baso,Baso,2
1408,4Ery,Ery,Ery,7
1409,13Baso,Baso,Baso,2
1410,2Ery,Ery,Ery,8
1411,15Mo,Mo,Mo,3
1412,7MEP,MEP,MEP,4
1413,3Ery,Ery,Ery,6
1414,10GMP,GMP,GMP,1
1415,13Baso,Baso,Baso,2
1416,3Ery,Ery,Ery,6
1417,1Ery,Ery,Ery,5
1418,13Baso,Baso,Baso,1
1419,13Baso,Baso,Baso,2
1420,7MEP,MEP,MEP,4
1421,16Neu,Neu,Neu,2
1422,14Mo,Mo,Mo,2
1423,3Ery,Ery,Ery,6
1424,2Ery,Ery,Ery,6
1425,1Ery,Ery,Ery,6
1426,13Baso,Baso,Baso,2
1427,15Mo,Mo,Mo,3
1428,8Mk,Mk,Mk,1
1429,2Ery,Ery,Ery,5
1430,14Mo,Mo,Mo,2
1431,14Mo,Mo,Mo,2
1432,14Mo,Mo,Mo,2
1433,9GMP,GMP,GMP,1
1434,14Mo,Mo,Mo,2
1435,14Mo,Mo,Mo,1
1436,2Ery,Ery,Ery,5
1437,7MEP,MEP,MEP,4
1438,2Ery,Ery,Ery,6
1439,16Neu,Neu,Neu,3
1440,10GMP,GMP,GMP,1
1441,6Ery,Ery,Ery,7
1442,2Ery,Ery,Ery,5
1443,15Mo,Mo,Mo,2
1444,14Mo,Mo,Mo,3
1445,15Mo,Mo,Mo,3
1446,3Ery,Ery,Ery,7
1447,12Baso,Baso,Baso,1
1448,2Ery,Ery,Ery,5
1449,13Baso,Baso,Baso,2
1450,13Baso,Baso,Baso,2
1451,7MEP,MEP,MEP,4
1452,6Ery,Ery,Ery,7
1453,5Ery,Ery,Ery,7
1454,2Ery,Ery,Ery,0
1455,19Lymph,Lymph,Lymph,1
1456,14Mo,Mo,Mo,3
1457,12Baso,Baso,Baso,4
1458,2Ery,Ery,Ery,5
1459,16Neu,Neu,Neu,3
1460,4Ery,Ery,Ery,9
1461,6Ery,Ery,Ery,4
1462,13Baso,Baso,Baso,1
1463,4Ery,Ery,Ery,9
1464,2Ery,Ery,Ery,6
1465,4Ery,Ery,Ery,0
1466,15Mo,Mo,Mo,1
1467,1Ery,Ery,Ery,5
1468,15Mo,Mo,Mo,3
1469,13Baso,Baso,Baso,2
1470,15Mo,Mo,Mo,3
1471,3Ery,Ery,Ery,0
1472,6Ery,Ery,Ery,7
1473,12Baso,Baso,Baso,4
1474,12Baso,Baso,Baso,1
1475,13Baso,Baso,Baso,2
1476,5Ery,Ery,Ery,7
1477,16Neu,Neu,Neu,1
1478,6Ery,Ery,Ery,0
1479,13Baso,Baso,Baso,2
1480,2Ery,Ery,Ery,6
1481,14Mo,Mo,Mo,2
1482,3Ery,Ery,Ery,0
1483,14Mo,Mo,Mo,2
1484,8Mk,Mk,Mk,4
1485,2Ery,Ery,Ery,5
1486,9GMP,GMP,GMP,1
1487,4Ery,Ery,Ery,7
1488,3Ery,Ery,Ery,7
1489,3Ery,Ery,Ery,8
1490,14Mo,Mo,Mo,2
1491,2Ery,Ery,Ery,0
1492,10GMP,GMP,GMP,2
1493,16Neu,Neu,Neu,3
1494,6Ery,Ery,Ery,7
1495,14Mo,Mo,Mo,2
1496,16Neu,Neu,Neu,3
1497,5Ery,Ery,Ery,9
1498,10GMP,GMP,GMP,2
1499,16Neu,Neu,Neu,2
1500,12Baso,Baso,Baso,4
1501,11DC,DC,DC,2
1502,15Mo,Mo,Mo,3
1503,2Ery,Ery,Ery,9
1504,13Baso,Baso,Baso,2
1505,7MEP,MEP,MEP,4
1506,13Baso,Baso,Baso,2
1507,13Baso,Baso,Baso,2
1508,2Ery,Ery,Ery,5
1509,6Ery,Ery,Ery,7
1510,14Mo,Mo,Mo,2
1511,5Ery,Ery,Ery,0
1512,16Neu,Neu,Neu,3
1513,5Ery,Ery,Ery,0
1514,6Ery,Ery,Ery,7
1515,18Eos,Eos,Eos,1
1516,14Mo,Mo,Mo,2
1517,14Mo,Mo,Mo,3
1518,13Baso,Baso,Baso,2
1519,15Mo,Mo,Mo,3
1520,2Ery,Ery,Ery,0
1521,2Ery,Ery,Ery,5
1522,13Baso,Baso,Baso,2
1523,3Ery,Ery,Ery,4
1524,2Ery,Ery,Ery,8
1525,15Mo,Mo,Mo,2
1526,12Baso,Baso,Baso,1
1527,7MEP,MEP,MEP,4
1528,3Ery,Ery,Ery,4
1529,4Ery,Ery,Ery,4
1530,15Mo,Mo,Mo,3
1531,14Mo,Mo,Mo,2
1532,4Ery,Ery,Ery,8
1533,4Ery,Ery,Ery,0
1534,13Baso,Baso,Baso,2
1535,9GMP,GMP,GMP,1
1536,12Baso,Baso,Baso,1
1537,2Ery,Ery,Ery,5
1538,4Ery,Ery,Ery,0
1539,9GMP,GMP,GMP,4
1540,16Neu,Neu,Neu,3
1541,16Neu,Neu,Neu,3
1542,2Ery,Ery,Ery,5
1543,2Ery,Ery,Ery,5
1544,16Neu,Neu,Neu,3
1545,7MEP,MEP,MEP,4
1546,14Mo,Mo,Mo,2
1547,14Mo,Mo,Mo,2
1548,14Mo,Mo,Mo,1
1549,5Ery,Ery,Ery,0
1550,5Ery,Ery,Ery,9
1551,3Ery,Ery,Ery,5
1552,3Ery,Ery,Ery,8
1553,2Ery,Ery,Ery,5
1554,18Eos,Eos,Eos,3
1555,14Mo,Mo,Mo,2
1556,3Ery,Ery,Ery,6
1557,14Mo,Mo,Mo,2
1558,14Mo,Mo,Mo,3
1559,12Baso,Baso,Baso,4
1560,14Mo,Mo,Mo,2
1561,4Ery,Ery,Ery,8
1562,3Ery,Ery,Ery,8
1563,14Mo,Mo,Mo,2
1564,7MEP,MEP,MEP,4
1565,5Ery,Ery,Ery,4
1566,12Baso,Baso,Baso,1
1567,2Ery,Ery,Ery,6
1568,15Mo,Mo,Mo,2
1569,14Mo,Mo,Mo,3
1570,3Ery,Ery,Ery,8
1571,14Mo,Mo,Mo,2
1572,2Ery,Ery,Ery,5
1573,3Ery,Ery,Ery,8
1574,2Ery,Ery,Ery,5
1575,16Neu,Neu,Neu,3
1576,7MEP,MEP,MEP,4
1577,2Ery,Ery,Ery,5
1578,10GMP,GMP,GMP,1
1579,7MEP,MEP,MEP,4
1580,5Ery,Ery,Ery,4
1581,5Ery,Ery,Ery,4
1582,13Baso,Baso,Baso,1
1583,6Ery,Ery,Ery,4
1584,7MEP,MEP,MEP,4
1585,3Ery,Ery,Ery,8
1586,10GMP,GMP,GMP,4
1587,5Ery,Ery,Ery,9
1588,5Ery,Ery,Ery,9
1589,1Ery,Ery,Ery,5
1590,13Baso,Baso,Baso,2
1591,15Mo,Mo,Mo,2
1592,3Ery,Ery,Ery,0
1593,6Ery,Ery,Ery,7
1594,14Mo,Mo,Mo,3
1595,11DC,DC,DC,2
1596,3Ery,Ery,Ery,8
1597,3Ery,Ery,Ery,7
1598,3Ery,Ery,Ery,8
1599,16Neu,Neu,Neu,3
1600,3Ery,Ery,Ery,0
1601,9GMP,GMP,GMP,1
1602,14Mo,Mo,Mo,2
1603,12Baso,Baso,Baso,1
1604,9GMP,GMP,GMP,1
1605,14Mo,Mo,Mo,2
