,paul15_clusters,paul15_label,celltype,SC3,CIDR,Seurat,tsne,SIMLR,SAFE,SAME,ctec_db_labels,ctec_ob_labels
420,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
421,2Ery,Ery,Ery,2,8,3,1,1,1,5,0,0
422,14Mo,Mo,Mo,8,4,1,2,6,2,7,1,5
423,7MEP,MEP,MEP,6,6,2,3,2,3,3,2,1
424,4Ery,Ery,Ery,2,10,3,1,1,1,5,0,0
425,6Ery,Ery,Ery,2,8,2,3,2,1,3,2,1
426,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
427,14Mo,Mo,Mo,7,9,6,2,5,2,1,1,1
428,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
429,6Ery,Ery,Ery,6,5,2,3,2,3,3,2,1
430,12Baso,Baso,Baso,6,6,6,3,2,3,4,2,1
431,6Ery,Ery,Ery,2,5,2,1,1,1,5,0,0
432,14Mo,Mo,Mo,8,9,6,3,6,3,4,1,1
433,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
434,13Baso,Baso,Baso,5,11,1,3,6,2,7,1,1
435,13Baso,Baso,Baso,3,11,1,2,6,2,7,1,5
436,14Mo,Mo,Mo,3,2,1,2,6,2,7,1,5
437,7MEP,MEP,MEP,6,6,2,3,2,3,3,2,1
438,7MEP,MEP,MEP,6,1,2,3,2,3,3,2,1
439,15Mo,Mo,Mo,4,2,4,2,5,2,1,1,4
440,5Ery,Ery,Ery,2,5,2,1,1,1,5,0,1
441,5Ery,Ery,Ery,2,5,2,1,1,1,5,0,1
442,5Ery,Ery,Ery,2,5,2,3,2,1,3,2,1
443,5Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
444,15Mo,Mo,Mo,4,4,4,2,5,2,1,1,5
445,1Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
446,13Baso,Baso,Baso,7,3,1,2,6,2,7,1,5
447,10GMP,GMP,GMP,8,6,6,3,6,3,4,1,1
448,12Baso,Baso,Baso,6,7,2,3,2,3,3,2,1
449,4Ery,Ery,Ery,1,10,5,1,7,1,6,0,0
450,7MEP,MEP,MEP,6,1,6,3,2,3,4,2,1
451,15Mo,Mo,Mo,4,2,4,2,5,2,1,1,5
452,19Lymph,Lymph,Lymph,6,7,8,3,8,3,2,2,1
453,13Baso,Baso,Baso,3,11,1,2,6,2,7,1,5
454,13Baso,Baso,Baso,3,4,1,2,6,2,7,1,5
455,3Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
456,3Ery,Ery,Ery,2,8,3,1,1,1,5,0,0
457,15Mo,Mo,Mo,4,2,4,2,5,2,1,1,5
458,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
459,13Baso,Baso,Baso,3,4,1,2,6,2,7,1,5
460,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
461,15Mo,Mo,Mo,4,3,4,2,5,2,1,1,5
462,17Neu,Neu,Neu,6,1,6,3,2,3,4,2,1
463,15Mo,Mo,Mo,4,4,4,2,5,2,1,1,5
464,13Baso,Baso,Baso,8,11,1,3,6,2,7,1,1
465,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
466,6Ery,Ery,Ery,6,8,2,3,2,3,3,2,1
467,5Ery,Ery,Ery,2,1,2,1,7,1,5,0,0
468,15Mo,Mo,Mo,3,9,1,2,6,2,7,1,5
469,9GMP,GMP,GMP,8,4,7,3,2,3,4,2,1
470,13Baso,Baso,Baso,3,4,1,2,6,2,7,1,5
471,15Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
472,13Baso,Baso,Baso,3,4,1,2,6,2,7,1,5
473,6Ery,Ery,Ery,8,1,2,3,2,3,3,2,1
474,7MEP,MEP,MEP,6,7,2,3,2,3,3,2,1
475,12Baso,Baso,Baso,8,1,6,3,2,3,4,2,1
476,15Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
477,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
478,13Baso,Baso,Baso,8,6,6,3,2,3,4,2,1
479,10GMP,GMP,GMP,8,3,6,3,2,3,4,2,1
480,14Mo,Mo,Mo,4,2,4,2,5,2,1,1,5
481,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
482,14Mo,Mo,Mo,4,11,4,2,5,2,1,1,5
483,15Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
484,5Ery,Ery,Ery,2,5,2,1,1,1,5,0,1
485,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
486,5Ery,Ery,Ery,2,10,2,1,1,1,5,0,1
487,14Mo,Mo,Mo,5,2,4,2,6,2,7,1,5
488,13Baso,Baso,Baso,3,11,1,2,6,2,7,1,5
489,15Mo,Mo,Mo,4,2,4,2,5,2,1,1,5
490,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
491,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
492,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
493,13Baso,Baso,Baso,3,4,1,2,6,2,7,1,5
494,13Baso,Baso,Baso,7,11,1,2,6,2,7,1,5
495,5Ery,Ery,Ery,2,5,2,1,1,1,5,0,1
496,5Ery,Ery,Ery,2,5,2,1,2,1,3,2,1
497,9GMP,GMP,GMP,8,7,6,3,2,3,4,2,1
498,14Mo,Mo,Mo,3,2,1,2,6,2,7,1,5
499,7MEP,MEP,MEP,6,7,2,3,2,3,3,2,1
500,14Mo,Mo,Mo,8,4,6,3,5,3,4,1,5
501,11DC,DC,DC,6,7,9,3,3,3,2,2,1
502,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
503,2Ery,Ery,Ery,1,8,3,1,7,1,5,0,0
504,2Ery,Ery,Ery,2,8,3,1,1,1,5,0,0
505,10GMP,GMP,GMP,6,6,2,3,2,3,3,2,1
506,8Mk,Mk,Mk,6,7,7,3,2,3,4,2,1
507,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
508,5Ery,Ery,Ery,2,8,3,1,1,1,5,0,0
509,13Baso,Baso,Baso,3,4,1,2,6,2,7,1,5
510,13Baso,Baso,Baso,3,11,1,2,6,2,7,1,5
511,12Baso,Baso,Baso,8,7,6,3,6,3,4,1,1
512,7MEP,MEP,MEP,6,6,2,3,2,3,3,2,1
513,7MEP,MEP,MEP,6,5,2,3,2,3,3,2,1
514,13Baso,Baso,Baso,3,11,1,2,6,2,7,1,5
515,6Ery,Ery,Ery,6,5,2,3,2,3,3,2,1
516,5Ery,Ery,Ery,2,10,3,1,1,1,5,0,0
517,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
518,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
519,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
520,2Ery,Ery,Ery,1,3,3,1,1,1,5,0,0
521,14Mo,Mo,Mo,3,2,1,2,5,2,1,1,5
522,5Ery,Ery,Ery,2,10,3,1,1,1,5,0,0
523,7MEP,MEP,MEP,6,6,2,3,2,3,3,2,1
524,10GMP,GMP,GMP,8,7,1,2,6,2,7,1,1
525,19Lymph,Lymph,Lymph,6,1,8,3,8,3,2,2,7
526,14Mo,Mo,Mo,8,11,6,3,2,3,4,2,1
527,4Ery,Ery,Ery,2,10,5,1,1,1,5,0,0
528,14Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
529,12Baso,Baso,Baso,6,7,6,3,2,3,4,2,1
530,9GMP,GMP,GMP,8,3,6,3,2,3,4,2,1
531,15Mo,Mo,Mo,4,11,4,2,5,2,1,1,5
532,17Neu,Neu,Neu,6,7,6,3,2,3,4,2,1
533,7MEP,MEP,MEP,6,1,2,3,2,3,3,2,1
534,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
535,13Baso,Baso,Baso,3,11,1,2,6,2,7,1,5
536,3Ery,Ery,Ery,2,3,5,1,7,1,6,0,0
537,15Mo,Mo,Mo,4,2,4,2,5,2,1,1,5
538,3Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
539,7MEP,MEP,MEP,6,11,2,3,2,3,3,2,1
540,8Mk,Mk,Mk,6,1,7,3,2,3,4,2,1
541,19Lymph,Lymph,Lymph,6,4,8,3,8,3,2,2,1
542,3Ery,Ery,Ery,2,8,3,1,1,1,5,0,0
543,13Baso,Baso,Baso,3,11,1,2,6,2,7,1,5
544,9GMP,GMP,GMP,8,1,6,3,2,3,4,2,1
545,3Ery,Ery,Ery,2,3,5,1,7,1,6,0,0
546,3Ery,Ery,Ery,2,8,3,1,1,1,5,0,0
547,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
548,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
549,14Mo,Mo,Mo,3,2,1,2,6,2,7,1,5
550,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
551,6Ery,Ery,Ery,6,5,2,3,2,3,3,2,1
552,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
553,5Ery,Ery,Ery,2,5,2,3,1,1,3,0,1
554,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
555,14Mo,Mo,Mo,4,4,4,2,5,2,1,1,5
556,19Lymph,Lymph,Lymph,6,6,6,3,2,3,4,2,1
557,15Mo,Mo,Mo,4,2,4,2,5,2,1,1,4
558,13Baso,Baso,Baso,8,11,6,3,2,3,4,2,1
559,14Mo,Mo,Mo,4,11,4,2,5,2,1,1,5
560,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
561,17Neu,Neu,Neu,6,7,6,3,2,3,4,2,1
562,14Mo,Mo,Mo,3,2,1,2,6,2,7,1,5
563,1Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
564,2Ery,Ery,Ery,2,8,3,1,1,1,5,0,0
565,5Ery,Ery,Ery,2,10,2,1,7,1,5,0,0
566,6Ery,Ery,Ery,6,5,2,3,2,3,3,2,1
567,15Mo,Mo,Mo,4,3,4,2,6,2,7,1,5
568,10GMP,GMP,GMP,8,1,6,3,2,3,4,2,1
569,6Ery,Ery,Ery,6,5,2,3,2,3,3,2,1
570,10GMP,GMP,GMP,8,6,6,3,2,3,4,2,1
571,7MEP,MEP,MEP,6,1,2,3,2,3,3,2,1
572,14Mo,Mo,Mo,3,11,1,2,5,2,1,1,5
573,13Baso,Baso,Baso,7,6,1,2,6,2,7,1,5
574,2Ery,Ery,Ery,1,3,3,1,1,1,5,0,0
575,14Mo,Mo,Mo,4,4,4,2,5,2,1,1,5
576,14Mo,Mo,Mo,3,2,1,2,6,2,7,1,5
577,6Ery,Ery,Ery,6,3,2,3,2,3,3,2,1
578,13Baso,Baso,Baso,8,6,6,3,2,3,4,2,1
579,14Mo,Mo,Mo,3,4,1,2,6,2,7,1,5
580,14Mo,Mo,Mo,3,11,6,3,6,2,4,1,1
581,2Ery,Ery,Ery,2,10,3,1,1,1,5,0,0
582,6Ery,Ery,Ery,2,3,2,1,1,1,5,0,1
583,13Baso,Baso,Baso,8,3,1,2,6,2,7,1,1
584,10GMP,GMP,GMP,8,11,6,3,2,3,4,2,1
585,15Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
586,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
587,10GMP,GMP,GMP,8,6,6,3,6,3,4,1,1
588,1Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
589,14Mo,Mo,Mo,3,9,1,2,6,2,7,1,5
590,12Baso,Baso,Baso,6,7,6,3,2,3,4,2,1
591,10GMP,GMP,GMP,8,6,6,3,6,3,4,1,1
592,12Baso,Baso,Baso,6,7,2,3,2,3,3,2,1
593,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
594,10GMP,GMP,GMP,8,11,6,3,2,3,4,2,1
595,13Baso,Baso,Baso,3,4,1,2,6,2,7,1,5
596,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
597,6Ery,Ery,Ery,6,3,2,3,1,3,3,0,1
598,5Ery,Ery,Ery,6,10,2,3,2,3,3,2,1
599,10GMP,GMP,GMP,8,7,6,3,6,3,4,1,1
600,13Baso,Baso,Baso,3,11,1,2,6,2,7,1,5
601,19Lymph,Lymph,Lymph,6,7,8,3,8,3,2,2,1
602,14Mo,Mo,Mo,4,2,1,2,5,2,1,1,5
603,5Ery,Ery,Ery,2,8,2,1,1,1,5,0,1
604,13Baso,Baso,Baso,3,4,1,2,6,2,7,1,5
605,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
606,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
607,19Lymph,Lymph,Lymph,6,1,8,3,8,3,2,2,1
608,13Baso,Baso,Baso,7,3,4,2,6,2,7,1,5
609,4Ery,Ery,Ery,1,5,5,1,7,1,6,0,0
610,12Baso,Baso,Baso,8,6,6,3,2,3,4,2,1
611,10GMP,GMP,GMP,8,4,6,3,2,3,4,2,1
612,11DC,DC,DC,6,7,9,3,3,3,2,2,1
613,1Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
614,19Lymph,Lymph,Lymph,6,6,8,3,8,3,2,2,1
615,3Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
616,6Ery,Ery,Ery,6,1,2,3,2,3,3,2,1
617,6Ery,Ery,Ery,6,5,2,3,2,3,3,2,1
618,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
619,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
620,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
621,3Ery,Ery,Ery,2,1,2,1,1,1,5,0,1
622,15Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
623,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
624,10GMP,GMP,GMP,8,11,6,3,2,3,4,2,1
625,5Ery,Ery,Ery,2,5,2,3,1,1,3,0,0
626,13Baso,Baso,Baso,3,4,1,2,6,2,7,1,5
627,9GMP,GMP,GMP,8,6,6,3,2,3,4,2,1
628,9GMP,GMP,GMP,8,7,6,3,6,3,4,1,1
629,12Baso,Baso,Baso,8,6,6,3,2,3,4,2,1
630,17Neu,Neu,Neu,6,6,6,3,2,3,4,2,1
631,6Ery,Ery,Ery,6,1,2,3,2,3,3,2,1
632,7MEP,MEP,MEP,6,6,2,3,2,3,3,2,1
633,6Ery,Ery,Ery,2,3,2,1,1,1,5,0,1
634,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
635,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
636,19Lymph,Lymph,Lymph,6,6,8,3,8,3,2,2,1
637,13Baso,Baso,Baso,3,11,1,2,6,2,7,1,5
638,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
639,2Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
640,13Baso,Baso,Baso,7,1,1,3,6,2,7,1,1
641,7MEP,MEP,MEP,6,7,2,3,2,3,3,2,1
642,3Ery,Ery,Ery,2,8,3,1,1,1,5,0,0
643,13Baso,Baso,Baso,8,6,6,2,2,3,4,2,1
644,15Mo,Mo,Mo,4,11,4,2,5,2,1,1,5
645,13Baso,Baso,Baso,3,11,1,3,2,2,4,2,1
646,11DC,DC,DC,6,6,9,3,3,3,2,2,1
647,17Neu,Neu,Neu,6,11,6,3,2,3,4,2,1
648,13Baso,Baso,Baso,7,4,1,2,6,2,7,1,5
649,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
650,2Ery,Ery,Ery,2,8,3,1,1,1,5,0,0
651,11DC,DC,DC,6,7,9,3,3,3,2,2,1
652,13Baso,Baso,Baso,8,4,6,3,6,3,4,1,1
653,13Baso,Baso,Baso,3,4,1,2,6,2,7,1,5
654,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
655,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
656,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
657,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
658,10GMP,GMP,GMP,8,11,6,3,2,3,4,2,1
659,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
660,13Baso,Baso,Baso,3,4,1,2,6,2,7,1,5
661,10GMP,GMP,GMP,7,4,1,2,6,2,7,1,5
662,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
663,2Ery,Ery,Ery,2,8,2,3,2,1,3,2,1
664,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
665,12Baso,Baso,Baso,6,7,6,3,2,3,4,2,1
666,9GMP,GMP,GMP,8,6,6,3,2,3,4,2,1
667,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
668,2Ery,Ery,Ery,1,3,3,1,7,1,5,0,0
669,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
670,6Ery,Ery,Ery,2,1,2,1,1,1,5,0,1
671,13Baso,Baso,Baso,3,7,1,2,6,2,7,1,5
672,14Mo,Mo,Mo,8,3,6,3,6,3,4,1,1
673,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
674,5Ery,Ery,Ery,2,10,3,1,7,1,5,0,0
675,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
676,6Ery,Ery,Ery,6,1,2,3,2,3,3,2,1
677,13Baso,Baso,Baso,8,11,6,3,6,3,4,1,1
678,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
679,5Ery,Ery,Ery,2,5,2,1,1,1,5,0,1
680,5Ery,Ery,Ery,2,10,3,3,1,1,5,0,1
681,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
682,4Ery,Ery,Ery,2,8,5,1,7,1,6,0,0
683,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
684,10GMP,GMP,GMP,8,11,6,3,2,3,4,2,1
685,5Ery,Ery,Ery,2,8,2,1,1,1,5,0,1
686,13Baso,Baso,Baso,7,11,6,2,6,2,7,1,1
687,13Baso,Baso,Baso,3,11,1,2,6,2,7,1,5
688,2Ery,Ery,Ery,1,5,3,1,1,1,5,0,0
689,12Baso,Baso,Baso,6,7,6,3,2,3,4,2,1
690,12Baso,Baso,Baso,6,3,6,3,2,3,4,2,1
691,15Mo,Mo,Mo,4,9,6,2,5,2,1,1,5
692,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
693,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
694,13Baso,Baso,Baso,3,11,1,2,6,2,7,1,5
695,13Baso,Baso,Baso,7,4,1,2,6,2,7,1,5
696,10GMP,GMP,GMP,8,4,6,3,6,3,4,1,1
697,14Mo,Mo,Mo,4,2,4,2,5,2,1,1,5
698,13Baso,Baso,Baso,3,11,1,2,6,2,7,1,5
699,7MEP,MEP,MEP,6,1,2,3,2,3,3,2,1
700,13Baso,Baso,Baso,7,11,1,2,6,2,7,1,5
701,9GMP,GMP,GMP,6,7,2,3,2,3,3,2,1
702,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
703,1Ery,Ery,Ery,1,8,5,1,1,1,6,0,0
704,3Ery,Ery,Ery,2,3,5,1,7,1,6,0,0
705,13Baso,Baso,Baso,3,11,1,2,6,2,7,1,5
706,13Baso,Baso,Baso,3,4,1,2,6,2,7,1,5
707,15Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
708,2Ery,Ery,Ery,1,1,3,1,1,1,5,0,0
709,13Baso,Baso,Baso,5,3,6,2,6,2,7,1,5
710,5Ery,Ery,Ery,1,5,5,1,7,1,6,0,0
711,14Mo,Mo,Mo,3,4,1,2,6,2,7,1,5
712,3Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
713,6Ery,Ery,Ery,2,5,2,3,2,1,3,2,1
714,2Ery,Ery,Ery,1,10,5,1,7,1,6,0,0
715,19Lymph,Lymph,Lymph,6,6,8,3,8,3,2,2,1
716,15Mo,Mo,Mo,4,2,4,2,5,2,1,1,5
717,12Baso,Baso,Baso,8,7,6,3,2,3,4,2,1
718,7MEP,MEP,MEP,6,6,2,3,2,3,3,2,1
719,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
720,8Mk,Mk,Mk,6,7,7,3,2,3,4,2,1
721,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
722,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
723,8Mk,Mk,Mk,6,7,7,3,2,3,4,2,1
724,5Ery,Ery,Ery,2,5,2,1,1,1,5,0,1
725,14Mo,Mo,Mo,5,11,4,2,5,2,1,1,5
726,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
727,3Ery,Ery,Ery,2,8,5,1,7,1,6,0,0
728,9GMP,GMP,GMP,8,1,6,3,2,3,4,2,1
729,5Ery,Ery,Ery,2,8,3,1,1,1,5,0,0
730,3Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
731,5Ery,Ery,Ery,2,5,5,1,1,1,6,0,0
732,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
733,2Ery,Ery,Ery,1,10,5,1,7,1,6,0,0
734,2Ery,Ery,Ery,1,5,5,1,7,1,6,0,0
735,14Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
736,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
737,9GMP,GMP,GMP,6,6,2,3,2,3,3,2,1
738,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
739,15Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
740,10GMP,GMP,GMP,8,1,1,3,6,3,7,1,1
741,3Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
742,14Mo,Mo,Mo,3,4,1,2,6,2,7,1,5
743,8Mk,Mk,Mk,6,6,7,3,2,3,4,2,1
744,14Mo,Mo,Mo,7,4,4,2,5,2,1,1,5
745,15Mo,Mo,Mo,3,9,1,2,5,2,1,1,5
746,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,4
747,5Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
748,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
749,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,4
750,4Ery,Ery,Ery,2,1,3,1,1,1,5,0,0
751,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
752,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
753,14Mo,Mo,Mo,3,4,1,2,6,2,7,1,5
754,13Baso,Baso,Baso,8,3,1,2,6,2,7,1,1
755,5Ery,Ery,Ery,2,1,2,1,1,1,5,0,1
756,13Baso,Baso,Baso,7,3,1,2,6,2,7,1,5
757,7MEP,MEP,MEP,6,7,2,3,2,3,3,2,1
758,15Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
759,6Ery,Ery,Ery,6,1,2,3,2,3,3,2,1
760,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
761,15Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
762,12Baso,Baso,Baso,6,11,6,3,2,3,4,2,1
763,6Ery,Ery,Ery,6,1,2,3,2,3,3,2,1
764,13Baso,Baso,Baso,3,11,1,2,6,2,7,1,5
765,14Mo,Mo,Mo,4,11,4,2,5,2,1,1,5
766,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
767,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
768,14Mo,Mo,Mo,3,2,1,2,6,2,7,1,5
769,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
770,6Ery,Ery,Ery,6,1,2,3,2,3,3,2,1
771,6Ery,Ery,Ery,6,5,2,3,2,3,3,2,1
772,13Baso,Baso,Baso,8,11,1,2,6,2,7,1,1
773,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
774,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
775,2Ery,Ery,Ery,1,10,5,1,7,1,6,0,0
776,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
777,5Ery,Ery,Ery,2,1,3,1,1,1,5,0,0
778,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
779,5Ery,Ery,Ery,2,5,2,1,7,1,5,0,0
780,1Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
781,13Baso,Baso,Baso,3,11,1,2,6,2,7,1,5
782,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
783,14Mo,Mo,Mo,3,2,1,2,6,2,7,1,5
784,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
785,1Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
786,6Ery,Ery,Ery,2,5,5,1,7,1,6,0,0
787,14Mo,Mo,Mo,5,4,4,2,6,2,7,1,5
788,14Mo,Mo,Mo,3,4,1,2,6,2,7,1,5
789,15Mo,Mo,Mo,4,3,4,2,5,2,1,1,5
790,13Baso,Baso,Baso,3,11,1,2,6,2,7,1,5
791,15Mo,Mo,Mo,5,3,4,2,5,2,1,1,4
792,1Ery,Ery,Ery,1,8,5,1,1,1,6,0,0
793,8Mk,Mk,Mk,6,7,7,3,2,3,4,2,1
794,15Mo,Mo,Mo,4,2,4,2,5,2,1,1,4
795,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
796,10GMP,GMP,GMP,8,7,6,3,2,3,4,2,1
797,9GMP,GMP,GMP,8,1,6,3,2,3,4,2,1
798,4Ery,Ery,Ery,2,1,2,1,1,1,5,0,0
799,15Mo,Mo,Mo,4,3,4,2,5,2,1,1,5
800,4Ery,Ery,Ery,2,7,2,3,2,3,3,2,1
801,11DC,DC,DC,6,6,9,3,3,3,2,2,1
802,2Ery,Ery,Ery,1,8,5,1,1,1,6,0,0
803,14Mo,Mo,Mo,7,4,1,2,6,2,7,1,5
804,14Mo,Mo,Mo,7,4,1,2,6,2,7,1,5
805,8Mk,Mk,Mk,6,7,7,3,2,3,4,2,1
806,13Baso,Baso,Baso,8,11,6,2,6,2,7,1,1
807,6Ery,Ery,Ery,2,5,2,1,1,1,5,0,1
808,13Baso,Baso,Baso,8,1,1,2,6,2,7,1,5
809,4Ery,Ery,Ery,2,1,3,1,1,1,5,0,0
810,13Baso,Baso,Baso,8,6,6,3,2,3,4,2,1
811,15Mo,Mo,Mo,3,9,1,2,6,2,7,1,5
812,13Baso,Baso,Baso,8,6,1,2,6,2,7,1,1
813,4Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
814,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
815,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
816,2Ery,Ery,Ery,1,5,3,1,1,1,5,0,0
817,5Ery,Ery,Ery,2,5,2,1,1,1,5,0,0
818,2Ery,Ery,Ery,1,8,5,1,1,1,6,0,0
819,5Ery,Ery,Ery,2,5,2,1,1,1,5,0,1
820,10GMP,GMP,GMP,8,11,6,2,6,2,7,1,1
821,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
822,13Baso,Baso,Baso,3,11,1,2,6,2,7,1,5
823,8Mk,Mk,Mk,6,1,7,3,2,3,4,2,1
824,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
825,13Baso,Baso,Baso,7,4,1,2,6,2,7,1,5
826,7MEP,MEP,MEP,6,7,2,3,2,3,3,2,1
827,4Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
828,13Baso,Baso,Baso,8,4,1,2,6,2,7,1,1
829,6Ery,Ery,Ery,6,1,2,3,2,3,3,2,1
830,2Ery,Ery,Ery,1,7,3,1,1,1,5,0,0
831,14Mo,Mo,Mo,7,11,6,3,2,3,4,2,1
832,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
833,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
834,13Baso,Baso,Baso,8,4,4,3,5,3,1,1,1
835,14Mo,Mo,Mo,4,11,4,2,5,2,1,1,5
836,6Ery,Ery,Ery,2,5,2,1,1,1,5,0,1
837,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
838,2Ery,Ery,Ery,2,8,3,1,1,1,5,0,0
839,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
840,8Mk,Mk,Mk,6,4,7,3,2,3,4,2,1
