,celltype,protocol,SC3,CIDR,Seurat,tsne,SIMLR,SAFE,SAME,ctec_db_labels,ctec_ob_labels
D30-4_68,alpha,celseq2,3,1,1,3,2,5,7,0,2
D30-4_69,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-4_73,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-4_74,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-4_75,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-4_77,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-4_85,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-4_86,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-4_87,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-4_88,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-4_94,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_8,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_10,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_13,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_14,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_20,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_23,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_24,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_26,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_27,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_28,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_33,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_37,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_39,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_43,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_48,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_51,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_53,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_54,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_55,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_62,alpha,celseq2,3,2,18,3,2,5,7,0,2
D30-5_63,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_65,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_66,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_67,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_70,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_71,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_73,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_75,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_83,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_84,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_88,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_92,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_93,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-5_94,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_1,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_2,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_4,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_7,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_16,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_19,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_22,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_24,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_26,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_28,alpha,celseq2,2,5,12,8,12,3,10,3,1
D30-6_30,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_31,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_32,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_33,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_36,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_39,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_41,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_42,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_45,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_46,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_50,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_51,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_55,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_62,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_63,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_66,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_67,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_70,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_71,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_72,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_74,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_75,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_81,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_82,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_85,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_87,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_88,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_89,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-6_91,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_2,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_5,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_6,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_8,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_9,alpha,celseq2,3,2,18,3,2,5,7,0,2
D30-7_10,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_12,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_14,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_16,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_18,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_25,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_26,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_36,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_40,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_41,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_42,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_43,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_45,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_47,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_49,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_52,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_57,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_60,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_61,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_64,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_65,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_66,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_67,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_68,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_71,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_73,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_75,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_77,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_78,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_87,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_92,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-7_93,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_1,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_2,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_5,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_7,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_10,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_11,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_13,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_19,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_20,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_23,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_26,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_28,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_31,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_39,alpha,celseq2,3,1,1,3,2,5,7,0,2
D30-8_43,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_44,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_47,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_48,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_52,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_53,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_54,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_64,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_67,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_70,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_71,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_75,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_76,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_77,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_78,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_79,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_83,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_89,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_90,alpha,celseq2,3,2,1,3,2,5,7,0,2
D30-8_92,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_2,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_4,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_8,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_17,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_24,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_32,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_35,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_36,alpha,celseq2,2,5,12,8,12,3,10,3,1
D31-1_40,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_42,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_43,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_46,alpha,celseq2,3,1,1,3,2,5,7,0,2
D31-1_49,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_52,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_59,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_60,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_61,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_64,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_66,alpha,celseq2,3,2,18,3,2,5,7,0,2
D31-1_67,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_69,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_75,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_78,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_85,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_87,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_89,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_91,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-1_92,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_2,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_7,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_9,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_11,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_13,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_14,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_22,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_31,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_32,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_33,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_39,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_44,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_45,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_50,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_56,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_57,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_63,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_64,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_67,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_74,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_81,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_82,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_89,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-2_93,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_2,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_3,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_5,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_13,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_18,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_19,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_24,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_27,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_28,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_29,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_32,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_35,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_38,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_39,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_45,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_46,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_52,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_55,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_57,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_70,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_76,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_79,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_84,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_85,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_90,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-3_91,alpha,celseq2,5,1,3,6,2,7,4,1,3
D31-3_94,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_1,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_5,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_6,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_7,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_11,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_18,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_20,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_22,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_23,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_24,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_27,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_29,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_30,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_31,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_32,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_42,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_47,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_50,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_52,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_53,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_54,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_59,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_61,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_80,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_81,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_84,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_87,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-4_89,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_2,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_8,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_10,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_11,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_12,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_17,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_20,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_21,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_24,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_25,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_33,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_35,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_36,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_44,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_49,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_50,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_53,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_54,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_56,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_58,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_59,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_62,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_63,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_66,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_67,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_68,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_76,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_86,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_87,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_88,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_90,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-5_93,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-6_2,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-6_10,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-6_18,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-6_30,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-6_35,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-6_36,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-6_45,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-6_48,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-6_54,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-6_55,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-6_56,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-6_59,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-6_63,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-6_64,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-6_74,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-6_77,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-6_83,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-6_88,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-6_89,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-6_90,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-6_91,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-6_94,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_2,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_6,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_8,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_12,alpha,celseq2,3,1,1,11,2,5,7,0,2
D31-7_14,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_17,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_19,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_25,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_28,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_30,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_33,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_35,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_36,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_37,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_41,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_44,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_49,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_50,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_51,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_54,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_61,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_62,alpha,celseq2,3,1,1,3,2,5,7,0,2
D31-7_64,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_65,alpha,celseq2,3,2,14,3,2,5,7,0,2
D31-7_71,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_75,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_80,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_90,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-7_93,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-8_2,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-8_5,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-8_6,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-8_9,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-8_12,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-8_14,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-8_24,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-8_33,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-8_38,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-8_44,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-8_46,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-8_52,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-8_57,alpha,celseq2,3,1,1,3,2,5,7,0,2
D31-8_61,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-8_62,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-8_65,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-8_82,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-8_86,alpha,celseq2,3,2,1,3,2,5,7,0,2
D31-8_93,alpha,celseq2,3,2,1,3,2,5,7,0,2
10th_C16_S105,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
10th_C28_S91,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
10th_C30_S107,alpha,fluidigmc1,2,2,8,9,6,1,14,3,1
10th_C31_S48,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
10th_C34_S92,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
10th_C41_S101,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
10th_C43_S50,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
10th_C45_S66,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
10th_C50_S73,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
10th_C52_S110,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
10th_C53_S118,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
10th_C57_S81,alpha,fluidigmc1,2,2,8,9,6,1,14,3,1
10th_C5_S95,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
10th_C74_S76,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
10th_C90_S116,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
10th_C95_S123,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
10th_C96_S117,alpha,fluidigmc1,2,2,8,9,6,1,14,3,1
11th-C12_S47,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
11th-C36_S67,alpha,fluidigmc1,2,1,8,9,6,1,14,3,2
11th-C37_S6,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
11th-C57_S40,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
11th-C5_S54,alpha,fluidigmc1,2,2,8,9,6,1,14,3,1
11th-C61_S25,alpha,fluidigmc1,2,2,8,9,6,1,14,3,1
11th-C62_S33,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
11th-C67_S26,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
11th-C93_S30,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
12th-C11_S147,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
12th-C1_S195,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
12th-C20_S191,alpha,fluidigmc1,2,1,8,9,6,1,14,3,3
12th-C23_S149,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
12th-C28_S142,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
12th-C29_S150,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
12th-C37_S187,alpha,fluidigmc1,2,1,8,9,6,1,14,3,2
12th-C39_S201,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
12th-C50_S210,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
12th-C57_S218,alpha,fluidigmc1,2,1,8,9,6,1,14,3,2
12th-C58_S162,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
12th-C63_S219,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
12th-C71_S171,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
12th-C75_S206,alpha,fluidigmc1,2,2,8,9,6,1,14,3,2
